approach_name,approach_code,run_id,iteration,elapsed_seconds,current_objective_score,best_objective_score,best_improvement_pct,success_rate_pct,stability_score_pct,error_or_noise_pct,memory_mb,energy_cost_units
Standard Classical,A,A-1,0,1.1,20.052,20.052,0.0,66.77,92.34,2.93,261.0,4.33
Standard Classical,A,A-1,1,2.32,26.15,26.15,30.41,68.69,92.02,3.13,261.1,4.59
Standard Classical,A,A-1,2,3.66,29.776,29.776,48.49,70.22,92.6,3.02,265.9,4.96
Standard Classical,A,A-1,3,5.12,31.767,31.767,58.42,70.57,91.56,3.19,265.0,4.95
Standard Classical,A,A-1,4,6.7,34.614,34.614,72.62,71.64,91.01,3.1,270.2,5.2
Standard Classical,A,A-1,5,8.4,35.286,35.286,75.97,71.94,90.85,3.03,270.4,5.47
Standard Classical,A,A-1,6,10.22,36.767,36.767,83.36,72.27,90.72,3.16,275.8,5.52
Standard Classical,A,A-1,7,12.16,37.995,37.995,89.48,72.66,90.75,3.2,276.1,5.77
Standard Classical,A,A-1,8,14.22,39.899,39.899,98.98,72.85,90.36,3.53,276.3,5.99
Standard Classical,A,A-1,9,16.4,40.361,40.361,101.28,72.93,90.73,3.62,286.4,6.15
Standard Classical,A,A-1,10,18.7,40.467,40.467,101.81,73.0,89.93,3.5,286.4,6.35
Standard Classical,A,A-1,11,21.12,42.486,42.486,111.88,73.66,89.41,3.49,288.2,6.52
Standard Classical,A,A-1,12,23.66,43.173,43.173,115.31,73.67,89.37,3.65,291.4,6.51
Standard Classical,A,A-1,13,26.32,43.787,43.787,118.37,74.11,89.04,3.43,294.0,6.96
Standard Classical,A,A-1,14,29.1,44.45,44.45,121.67,73.75,89.9,3.97,293.4,7.13
Standard Classical,A,A-1,15,32.0,44.613,44.613,122.49,73.93,89.89,3.85,294.0,7.31
Standard Classical,A,A-1,16,35.02,44.826,44.826,123.55,73.85,87.7,3.72,302.8,7.42
Standard Classical,A,A-1,17,38.16,44.769,44.826,123.55,73.7,89.12,3.97,302.8,7.89
Standard Classical,A,A-1,18,41.42,46.438,46.438,131.59,74.2,88.74,3.97,302.5,7.67
Standard Classical,A,A-1,19,44.8,46.053,46.438,131.59,74.2,88.0,3.87,306.6,7.9
Standard Classical,A,A-1,20,48.3,47.369,47.369,136.23,74.08,87.74,4.17,311.5,8.21
Standard Classical,A,A-1,21,51.92,46.913,47.369,136.23,74.4,87.36,3.86,312.6,8.41
Standard Classical,A,A-1,22,55.66,47.59,47.59,137.33,73.94,87.87,4.31,318.6,8.42
Standard Classical,A,A-1,23,59.52,47.963,47.963,139.19,74.12,86.9,4.14,315.4,8.63
Standard Classical,A,A-1,24,63.5,48.401,48.401,141.38,74.53,87.44,3.98,321.5,8.93
Standard Classical,A,A-1,25,67.6,48.676,48.676,142.75,74.0,87.34,4.43,326.2,8.82
Standard Classical,A,A-1,26,71.82,49.461,49.461,146.66,74.32,86.17,4.25,321.0,9.2
