approach_name,approach_code,run_id,iteration,elapsed_seconds,current_objective_score,best_objective_score,best_improvement_pct,success_rate_pct,stability_score_pct,error_or_noise_pct,memory_mb,energy_cost_units
Quantum Approach,C,C-1,0,0.85,18.911,18.911,0.0,68.76,94.79,1.35,208.6,3.78
Quantum Approach,C,C-1,1,1.78,31.927,31.927,68.83,73.24,94.46,1.52,213.4,3.83
Quantum Approach,C,C-1,2,2.79,43.118,43.118,128.0,77.28,95.03,1.61,212.0,4.1
Quantum Approach,C,C-1,3,3.88,51.461,51.461,172.12,79.88,94.3,1.87,214.4,4.02
Quantum Approach,C,C-1,4,5.05,57.56,57.56,204.37,82.23,93.57,1.69,217.4,4.31
Quantum Approach,C,C-1,5,6.3,62.274,62.274,229.3,83.67,93.71,1.91,224.6,4.38
Quantum Approach,C,C-1,6,7.63,66.847,66.847,253.48,84.75,92.48,2.22,220.1,4.47
Quantum Approach,C,C-1,7,9.04,69.981,69.981,270.05,85.84,92.03,2.21,219.8,4.78
Quantum Approach,C,C-1,8,10.53,72.337,72.337,282.51,86.3,92.77,2.58,223.7,4.78
Quantum Approach,C,C-1,9,12.1,74.569,74.569,294.32,87.43,92.38,2.29,222.4,5.07
Quantum Approach,C,C-1,10,13.75,76.162,76.162,302.74,87.27,91.16,2.72,227.7,4.9
Quantum Approach,C,C-1,11,15.48,76.924,76.924,306.77,87.43,91.37,2.82,227.5,5.02
Quantum Approach,C,C-1,12,17.29,79.106,79.106,318.31,88.05,90.04,2.8,230.8,5.24
Quantum Approach,C,C-1,13,19.18,79.571,79.571,320.77,88.48,91.87,2.78,233.8,5.33
Quantum Approach,C,C-1,14,21.15,80.022,80.022,323.15,88.2,90.63,2.98,231.0,5.52
Quantum Approach,C,C-1,15,23.2,80.132,80.132,323.73,88.27,89.28,2.8,241.4,5.51
Quantum Approach,C,C-1,16,25.33,80.046,80.132,323.73,87.55,89.59,3.37,239.0,5.61
Quantum Approach,C,C-1,17,27.54,81.188,81.188,329.32,88.1,90.25,3.3,240.6,5.96
Quantum Approach,C,C-1,18,29.83,81.535,81.535,331.15,88.0,87.68,3.18,244.7,5.92
Quantum Approach,C,C-1,19,32.2,80.894,81.535,331.15,87.76,88.53,3.44,246.2,5.92
Quantum Approach,C,C-1,20,34.65,80.572,81.535,331.15,87.53,87.82,3.53,249.2,6.11
Quantum Approach,C,C-1,21,37.18,79.957,81.535,331.15,87.27,87.38,3.66,246.6,6.39
Quantum Approach,C,C-1,22,39.79,80.688,81.535,331.15,87.05,86.87,3.76,249.6,6.4
Quantum Approach,C,C-1,23,42.48,79.326,81.535,331.15,87.27,87.33,3.62,250.0,6.62
Quantum Approach,C,C-1,24,45.25,80.169,81.535,331.15,87.17,87.43,3.69,257.4,6.64
Quantum Approach,C,C-1,25,48.1,79.386,81.535,331.15,86.51,87.0,4.13,255.3,6.75
Quantum Approach,C,C-1,26,51.03,78.929,81.535,331.15,86.61,85.64,3.89,261.6,6.76
Quantum Approach,C,C-1,27,54.04,78.691,81.535,331.15,86.08,85.02,4.21,255.7,7.01
Quantum Approach,C,C-1,28,57.13,77.953,81.535,331.15,86.03,85.1,4.24,262.0,7.21
Quantum Approach,C,C-1,29,60.3,77.647,81.535,331.15,86.04,85.19,4.22,260.7,7.35
Quantum Approach,C,C-1,30,63.55,77.612,81.535,331.15,85.27,84.79,4.74,265.9,7.44
Quantum Approach,C,C-2,0,0.85,18.067,18.784,3.97,68.47,96.6,1.73,210.7,3.85
Quantum Approach,C,C-2,1,1.78,31.867,31.867,76.38,73.64,94.98,1.25,210.1,3.97
Quantum Approach,C,C-2,2,2.79,43.161,43.161,138.89,76.97,94.79,1.83,216.1,3.98
Quantum Approach,C,C-2,3,3.88,51.748,51.748,186.42,79.9,93.14,1.81,221.3,4.12
Quantum Approach,C,C-2,4,5.05,57.01,57.01,215.55,81.88,93.73,1.82,221.2,4.15
Quantum Approach,C,C-2,5,6.3,62.96,62.96,248.48,84.05,94.34,1.88,219.1,4.5
Quantum Approach,C,C-2,6,7.63,66.823,66.823,269.86,85.06,92.7,2.0,226.1,4.36
Quantum Approach,C,C-2,7,9.04,70.665,70.665,291.13,85.85,94.07,2.61,222.4,4.85
Quantum Approach,C,C-2,8,10.53,72.875,72.875,303.36,87.39,93.17,1.94,228.1,4.78
Quantum Approach,C,C-2,9,12.1,74.743,74.743,313.7,86.85,90.39,2.57,222.8,4.96
Quantum Approach,C,C-2,10,13.75,75.58,75.58,318.33,87.35,92.62,2.65,228.3,4.93
